돈채콩나물볶음,돈육채볶음,
양념고추지,고추장아찌,
흰밥,쌀밥,
계란파국,달걀양파국,
참치야채비빔밥*고추장,참치비빔밥,
생선까스*타르소스,생선까스,
로제크림푸실리샐러드,코울슬로샐러드,
슬라이스참외,참외_씨 제거_생것,
갈치무조림,갈치조림,
해초무침,해초무침,
콩나물무채국,콩나물무채굴국,
꼬막파채무침,꼬막무침,
브로콜리흑임자무침,브로콜리무침,
구운김,김구이,
우뭇가시리국,우뭇가사리콩국,
볼어묵피망볶음,어묵피망볶음,
고사리나물*수제피클,고사리나물,
후렌치파이*요구르트,일반과자_후렌치파이딸기,
흰밥,쌀밥,
치킨너겟*머스타드,치킨너겟,
야채스크램블,참치야채스크램블,
흰밥,쌀밥,
닭개장*당면,닭개장,
돈민찌가지나물,돼지고기가지볶음,
김치깻잎전,깻잎전,
오이스틱*쌈장*알타리,오이무침,
화채,화채,
흰밥,쌀밥,
콩비지두부조림,두부조림,
마늘종멸치볶음,마늘종멸치볶음,
아삭고추된장무침,아삭이고추된장무침,
무말랭이,무말랭이볶음,
흰밥,쌀밥,
알탕,알탕,
야채*고추튀김,채소튀김,
메란알감자조림,알감자조림,
사과푸딩*두유,푸딩_망고푸딩,
배추된장국,배추된장국,
닭살천사채무침,닭가슴살냉채,
숙주나물무침,숙주나물무침,
김치수제비국,김치수제비,
쌈무야채샐러드,단호박야채샐러드,
건자반,김자반,
폭찹,폭찹볶음,
마카로니완두샐러드,마카로니샐러드,
흰밥,쌀밥,
오이가지냉국,오이지냉국,
순대야채볶음,순대볶음,
감자튀김*케찹,감자튀김,
고등어시레기조림,고등어시래기조림,
고구마샐러드,고구마샐러드,
오리훈제부추무침,오리훈제부추무침,
모듬샐러드*열무김치,채소샐러드,
마파두부,마파두부,
양배추쌈장,양배추두부쌈,
돈육곤약조림,돈육장조림,
미나리숙주무침,미나리무침,
동태탕,동태탕,
옥수수감자샐러드,옥수수샐러드,
오이부추무침,오이부추무침,
프렌치파이*요구르트,일반과자_후렌치파이딸기,
닭살브로콜리무침,브로콜리무침,
꽁치캔김치조림,꽁치김치찜,
족발맛수육*무김치,족발수육,
크레미게살스프,게살스프,
버섯들깨탕,버섯들깨탕,
양념치킨,양념치킨,
도토리묵김치무침,메밀묵김치무침,
새우살스크램블,스크램블에그,
단호박찜,단호박멸치찜,
컬리플라워,오이무침,
버섯굴소스볶음,버섯청경채굴소스볶음,
요플레*에이스,비스킷/쿠키/크래커_에이스,
스팸구이*케찹,김치스팸볶음,
병아리콩조림,콩조림,
도라지무침,도라지무침,
돈육가지볶음,돼지고기가지볶음,
자반볶음,자반볶음,
닭곰탕*삶은소면,닭곰탕,
마들렌*포도쥬스,비스킷/쿠키/크래커_마들렌,
청경채무침,청경채무침,
고추잡채*꽃빵,고추잡채와꽃빵,
당근계란찜,당근계란볶음,
열무김치,열무김치,
모듬화채,과일화채,
흰밥,쌀밥,
유부채미소장국,미소장국,
돈사태찜,쇠고기사태찜,
만두국,만두국,
핑크소세지전,옛날소시지전,
소고기그린피스볶음,청경채소고기볶음,
들기름막국수무침,들기름국수,
꽈리고추된장무침,풋고추된장무침,
간장깻잎지,깻잎간장나물,
흰밥,쌀밥,
코다리곤약조림,코다리조림,
적채부추무침,부추무침,
약과*두유,약과,
탕수육무침,탕수육,
고구마닭볶음탕,고구마닭볶음탕,
동그랑땡,소고기동그랑땡,
숙주나물*열무김치,숙주나물,
계란옷식빵*대추차,식빵_미니식빵,
새송이간장조림,새송이조림,
단무지무침,단무지무침,
김치묵사발,묵사발,
해물목이버섯찜,양송이버섯찜,
민찌오이무침,오이무침,
근대호박국,늙은호박국,
오리가지볶음,닭살가지볶음,
메밀묵김가루무침,메밀묵김치무침,
콩나물버섯국,숙주나물버섯국,
시레기꽁치조림,꽁치조림,
호박나물,호박나물,
볶음자반,자반볶음,
갈비탕,갈비탕,
손만두찜*간장,물만두,
해초곤약무침,해초무침,
오이,오이무침,
흰밥,쌀밥,
부추추어탕,추어탕,
스크램블,스크램블에그,
어슷우엉조림,우엉조림,
브로콜리유자무침,브로콜리무침,
바나나야채샐러드,바나나야채샐러드,
슬라이스토마토,토마토_생것,
군만두*초간장,군만두,
피쉬볼감자조림,어묵감자채볶음,
오징어오이무침,오징어오이무침,
홍합미역국,홍합미역국,
닭살파채겨자무침,닭가슴살냉채,
부추잡채,부추잡채,
가지나물*구이김,가지나물,
블루베리증편*요구르트,증편,
호박감자국,애호박감자국,
베이컨양배추볶음,베이컨양배추볶음,
천사채샐러드,천사채샐러드,
닭살단호박찜,닭고기단호박찜,
도라지나물,도라지나물,
깻잎지,깻잎장아찌,
도토리묵상추무침,도토리묵상추무침,
아삭오이쌈장무침,아삭이고추된장무침,
흰밥,쌀밥,
김치만두국,김치만두국,
오징어떡볶음,오징어떡볶음,
돈김치볶음,돼지고기김치볶음,
궁채무침,궁채나물들깨볶음,
순두부계란국,순두부계란탕,
코다리감자조림,코다리감자찜,
꽈리고추어묵볶음,꽈리고추어묵볶음,
단호박죽,단호박죽,
양념닭강정,양념닭강정,
시레기나물무침,산나물무침,
꼬막살천사채무침,꼬막무침,
꽈리고추된장찜,꽈리고추간장찜,
돌나물초장무침,돌나물무침,
돈채쌈무무침,돼지고기쌈구이와매실소스,
방풍나물무침,방풍나물무침,
밤만쥬*매실음료,빵_밤만주,
자장소스,짜장소스,
